Number,Number By Type,Type,Length,Width
1,1,Cherry,11.5,5.9
2,2,Cherry,16.7,9.1
3,3,Cherry,10.4,4.9
4,4,Cherry,18.1,8.4
5,5,Cherry,19.3,6.5
6,6,Cherry,12.2,8
7,7,Cherry,10.3,5.3
8,8,Cherry,9.9,4.3
9,9,Cherry,9.6,6.8
10,10,Cherry,19.2,10.4
11,11,Cherry,12.8,6.2
12,12,Cherry,12.1,8.3
13,13,Cherry,12.5,6.2
14,14,Cherry,8.3,4.3
15,15,Cherry,6.9,4.5
16,16,Cherry,9.2,5.5
17,1,Pear,5.3,3.1
18,2,Pear,6.9,6.2
19,3,Pear,9.2,8.9
20,4,Pear,8.5,7.5
21,5,Pear,8.2,4.1
22,6,Pear,5.7,4
23,7,Pear,5.8,5.1
24,8,Pear,16.8,9.9
25,9,Pear,6.1,5.9
26,10,Pear,8.9,4.1
27,11,Pear,6.4,4.4
28,12,Pear,18.8,15.2
