ID	Weight 	Radius	Length	Circumference
1	197	19.1	272	120
2	194	19.1	272	120
3	165	18.8	246	118
4	186	19.3	244	121
5	178	18.9	234	119
6	207	19.9	128	125
7	213	19.9	283	125
8	178	19.3	222	121
9	229	20.4	261	128
10	231	20.2	265	127
11	159	20.2	234	127
12	157	18.3	246	115
13	231	20.4	264	128
14	185	20.5	235	129
15	176	19.1	268	120
16	202	19.7	252	124
17	199	19.3	271	121
18	190	20.4	241	128
19	180	18.9	264	119
20	191	18.6	262	117
21	202	19.9	247	125
22	193	18.9	270	119
23	199	18.8	275	118
24	209	20.2	249	127
