Producer,Battery,Battery.1,SDate,VP,Sulf,S.Temp,A.Temp,Dens,Temp.Mean,Temp.Roll,Est,Weyb,Oxbow,YGN,Melita,Kipl,Type.Num,CrudeType,VolumeM3
LRE,04-05-002-15W2,,12/7/2016,76.4,1.99624,15.5,-25,867.7,-16.33333333,-7.8638,-17.2,-17.5,-16.3,-17,-13.5,-16.5,1,Crude,"3,726.96"
CENOV,05-16-006-13W2,,12/7/2016,63.6,2.3065,27.1,-20,867.7,-16.33333333,-7.8638,-17.2,-17.5,-16.3,-17,-13.5,-16.5,1,Crude,118264.62
SPAEN,11-12-006-15W2,,12/7/2016,74.1,2.34526,31,-20,868,-16.33333333,-7.8638,-17.2,-17.5,-16.3,-17,-13.5,-16.5,1,Crude,7324.14
CRESC,01-21-001-14W2,,12/8/2016,112,0.28571,-1.5,-25,804,-21.18333333,-10.4805,-22.7,-23.3,-20.5,-20.5,-20.3,-19.8,1,Crude,15481.35
CRESC,14-27-001-13W2,,12/8/2016,102.9,0.39244,7,-25,819,-21.18333333,-10.4805,-22.7,-23.3,-20.5,-20.5,-20.3,-19.8,1,Crude,21171.82
SPAEN,01-28-002-14W2,,12/8/2016,89.2,1.53164,21.7,-25,854.9,-21.18333333,-10.4805,-22.7,-23.3,-20.5,-20.5,-20.3,-19.8,1,Crude,5257.84
LRE,11-02-005-12W2,,12/8/2016,116.4,1.70589,5.6,-25,846.4,-21.18333333,-10.4805,-22.7,-23.3,-20.5,-20.5,-20.3,-19.8,1,Crude,3105.33
CRESC,07-07-006-15W2,,12/8/2016,80.5,2.88476,20.5,-25,872,-21.18333333,-10.4805,-22.7,-23.3,-20.5,-20.5,-20.3,-19.8,1,Crude,4517.96
SECUR ,08-28-005-33W1, REV,12/12/2016,82,1.00855,6,-24,839.7,-20.71666667,-21.1367,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,1,Crude,106852.55
RDGBK,02-26-009-09W2,,12/12/2016,85.9,0.16917,20.4,-24,812,-20.71666667,-21.1367,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,1,Crude,6988.22
CRESC,09-14-009-08W2,,12/12/2016,121.1,0.19149,5.7,-24,802,-20.71666667,-21.1367,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,1,Crude,30199.41
CRESC,04-08-008-08W2,,12/12/2016,111.3,0.27205,-7,-24,807.2,-20.71666667,-21.1367,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,1,Crude,75984.03
RDGBK,03-33-008-06W2,,12/12/2016,107.9,0.34421,8.9,-24,804.3,-20.71666667,-21.1367,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,1,Crude,13104.25
CRESC,04-08-008-08W2,,12/12/2016,112,0.37223,-6.8,-24,807.1,-20.71666667,-21.1367,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,1,Crude,75984.03
CRESC,04-08-008-08W2,,12/12/2016,111.1,0.37223,-6.8,-24,807.8,-20.71666667,-21.1367,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,1,Crude,75984.03
RDGBK,12-06-009-07W2,,12/12/2016,107,0.56927,-2,-24,805,-20.71666667,-21.1367,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,1,Crude,9482.96
CRESC,13-13-007-02W2,,12/12/2016,81.1,1.27773,8,-24,850,-20.71666667,-21.1367,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,1,Crude,4977.42
SPAEN,16-18-011-04W2,,12/12/2016,86.3,1.57156,4.2,-24,852.7,-20.71666667,-21.1367,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,1,Crude,7387.01
SECUR ,08-28-005-33W1, SALES,12/12/2016,113.3,1.2964,4,-24,838.7,-20.71666667,-21.1367,-21.2,-19.4,-21.8,-19.3,-21.1,-21.5,1,Crude,106852.55
CRESC,14-13-001-05W2,,12/13/2016,95.3,0.50932,1.9,-25,812,-17.95,-21.7238,-18.1,-17.8,-18.3,-17,-18,-18.5,1,Crude,18538.56
FEDER,05-31-002-01W2,,12/13/2016,93.9,0.80219,16,-25,825.7,-17.95,-21.7238,-18.1,-17.8,-18.3,-17,-18,-18.5,1,Crude,8019.9
SPAEN,09-08-004-03W2,,12/13/2016,104.4,0.97927,10.7,-25,832,-17.95,-21.7238,-18.1,-17.8,-18.3,-17,-18,-18.5,1,Crude,13705.84
CRESC,05-14-003-01W2,,12/13/2016,88.9,1.09218,5,-25,834,-17.95,-21.7238,-18.1,-17.8,-18.3,-17,-18,-18.5,1,Crude,3704.37
TORCO,03-15-004-06W2,,12/13/2016,64.9,1.142,26,-25,849.4,-17.95,-21.7238,-18.1,-17.8,-18.3,-17,-18,-18.5,1,Crude,6151.05
